twitter,name,generation
tokino_sora,ときのそら,0
robocosan,ロボ子さん,0
sakuramiko35,さくらみこ,0
suisei_hosimati,星街すいせい,0
yozoramel,夜空メル,1
shirakamifubuki,白上フブキ,1/gamers
natsuiromatsuri,夏色まつり,1
akaihaato,赤井はあと,1
akirosenthal,アキ・ローゼンタール,1
minatoaqua,湊あくあ,2
nakiriayame,百鬼あやめ,2
yuzukichococh,癒月ちょこ,2
murasakishionch,紫咲シオン,2
oozorasubaru,大空スバル,2
ookamimio,大神ミオ,gamers
nekomataokayu,猫又おかゆ,gamers
inugamikorone,戌神ころね,gamers
shiranuiflare,不知火フレア,3
shiroganenoel,白銀ノエル,3
houshoumarine,宝鐘マリン,3
usadapekora,兎田ぺこら,3
uruharushia,潤羽るしあ,3
amanekanatach,天音かなた,4
kiryucoco,桐生ココ,4
tsunomakiwatame,角巻わため,4
tokoyamitowa,常闇トワ,4
himemoriluna,姫森ルーナ,4
yukihanalamy,雪花ラミィ,5
momosuzunene,桃鈴ねね,5
shishirobotan,獅白ぼたん,5
omarupolka,尾丸ポルカ,5
